CalBP,SPD_TaphCorrected,MC_lo_2.5pct,MC_hi_97.5pct
8200,0.0011878296222030316,0.002986507747346444,0.006866011188634754
8210,0.001339613100909292,0.0030402152708779435,0.006989243563953827
8220,0.001571319093772916,0.002980330694942577,0.007009368419423673
8230,0.0017507207131761363,0.0029136035952923877,0.006855267602703966
8240,0.0015901864260515885,0.0029688500551006834,0.007006477074033279
8250,0.0014759887687365186,0.0029985454109367447,0.007069256157869918
8260,0.001356801363630494,0.0030417079608952373,0.007038000995288269
8270,0.0010723116764075112,0.002895620359776852,0.006717583253688383
8280,0.0011093087152750567,0.0029171218593733637,0.006736416947466995
8290,0.0013089720305948188,0.0029703477913216175,0.006956245160824978
8300,0.0013107107966923155,0.002941446141734477,0.006937378356371222
8310,0.0013777088020099255,0.0029060719864736884,0.006915216188182976
8320,0.001542948916081578,0.0028901263324741036,0.006957580121284112
8330,0.0018716610087728244,0.0027313194364166214,0.006856741628752228
8340,0.002092365916809499,0.0025412487510108176,0.006695427091906615
8350,0.0027232933994094854,0.002115615715360917,0.00655771961721242
8360,0.0027528828917536955,0.002087449749009071,0.006545782601289857
8370,0.003502155333749725,0.0018156539567664443,0.006491652127228832
8380,0.004757348054019761,0.001592523990368807,0.00662208041353339
8390,0.006296768049273915,0.0014293685788197236,0.006681808651513402
8400,0.006692786539659444,0.0014710548526866865,0.006634479542917409
8410,0.007241270751509023,0.0016899188496155462,0.006410656388944905
8420,0.006839748381941202,0.002069181205581009,0.0063630246682734645
8430,0.005899183144996611,0.002334838451951455,0.006550933345029204
8440,0.005938847191059895,0.0023278915589800826,0.006549984202643077
8450,0.005692152354603066,0.0023828650428583393,0.006614441648027265
8460,0.00524662330016368,0.0025261834249453454,0.006707660326683222
8470,0.005210326891456975,0.0025452304718535817,0.006726547494151823
8480,0.005244997175943979,0.0025396330317445973,0.006685695725966397
8490,0.005208256357349264,0.0025332919625851037,0.006691378025214973
8500,0.005337395351290325,0.002495623453688016,0.006715093311934576
8510,0.005582602811394072,0.002414387563495334,0.006616487025904403
8520,0.005221019855307809,0.002542943652958099,0.006682896249937715
8530,0.005221553810348635,0.0025495674053040793,0.006670768584125908
8540,0.005070231044203811,0.002542852442723676,0.006664127317145083
8550,0.005269649124265155,0.002109127866552805,0.006171813335142417
8560,0.005250899176573628,0.0019957515621949738,0.0060015226367364245
8570,0.005261964424126941,0.002135673311489301,0.006097291309771631
8580,0.005264819805792048,0.00222415747462561,0.006272197586104464
8590,0.00525649149581885,0.0019623768986242575,0.005954011161694405
8600,0.004524062576744317,0.001959016490968966,0.005638010640119202
8610,0.003989356716277441,0.0022875617677119045,0.005687833535239663
8620,0.0042979574693556375,0.0020733540450103235,0.005679353908696656
8630,0.004409879460137477,0.002027547314829669,0.0056763622156006215
8640,0.0036888152776375326,0.002496758768080482,0.005775063750299801
8650,0.0033182801409108913,0.0029930604543528375,0.006066486525375167
8660,0.003352165209011361,0.00314340358078545,0.006178052588258481
8670,0.003337131817552041,0.003008039577538263,0.006058569652843804
8680,0.003454505926823208,0.00277943341044815,0.005919603593337077
8690,0.0034049064685711928,0.0028190094956654353,0.005958673674420697
8700,0.0033215670868477097,0.003008256537010728,0.006099348485457471
8710,0.003333385804994941,0.0029681747984993487,0.006063414079945418
8720,0.003327291972121594,0.0030625262480059637,0.006125397564004607
8730,0.003480396398028647,0.003150302384326902,0.006166178343245115
8740,0.003405486094235275,0.0031213304621310776,0.0061494732998962735
8750,0.0033827441112732944,0.003107562537757453,0.006156248941882537
8760,0.0033283798709133087,0.0031056651507117405,0.006159549371266416
8770,0.003430574305980261,0.003144793038258566,0.006134184072169116
8780,0.00399414512021283,0.0029792784163314183,0.005888346417750971
8790,0.004397438158816899,0.0027330862033187538,0.005576655848738395
8800,0.004325606874114522,0.002746570362735575,0.0055987992103604676
8810,0.004378968867110645,0.0027111024263582204,0.00554503211452601
8820,0.004624523197379522,0.0024710278729403053,0.00529159081486744
8830,0.003821583543968153,0.002893741372284309,0.0057676253875949615
8840,0.002999798878596046,0.0030732787853955308,0.006074533099573081
8850,0.0028410245448769883,0.003051364543810066,0.006027416580168945
8860,0.0033054890747939575,0.0029296457786663448,0.00582767283046242
8870,0.0042503969414721616,0.0025595265353547227,0.0053783763998680205
8880,0.00365578660077904,0.002730744109751963,0.00560737139660145
