CalBP,Demo_Z,Env_Z
8960,-0.564583293982128,0.569664818162596
8970,-0.6350184874603725,0.5450836432337527
8980,-0.3702402227548526,0.5287959142165085
8990,-0.004553836891500429,0.521688025734419
9000,0.16426682770987758,0.5237166454010486
9010,-0.018372420060344966,0.5370402629132195
9020,-0.3688863285712409,0.5687774182907686
9030,-0.8097216124997327,0.6106635901350131
9040,-1.00776629034061,0.6563825415149708
9050,-1.1846540097715677,0.6900823516320631
9060,-1.1594431929938671,0.6911662982224512
9070,-1.153785156384126,0.6572860785720677
9080,-1.1584301798872547,0.5820433527131043
9090,-1.213581468821734,0.48612453902794167
9100,-1.215914541859396,0.3919259219753235
9110,-1.2128403151617342,0.3083586790263419
9120,-1.2123890645088546,0.24768503825158758
9130,-1.230521477681371,0.20229332941820793
9140,-1.2560952686499542,0.16921509722304776
9150,-1.2812553911132194,0.14559739949513356
9160,-1.292760698975798,0.11951453361740912
9170,-1.2905791162612186,0.08794989198540898
9180,-1.280757743053991,0.04134839088653786
9190,-1.2805401543854784,-0.005009264996794014
9200,-1.2926712797696964,-0.0433907487533775
9210,-1.305139874507338,-0.07361411035265239
9220,-1.3053707416123794,-0.08919979457526171
9230,-1.3056537278736329,-0.09445526649914952
