Age_BP,Temp_C
5106.080000000001,-30.3864
5120.669999999999,-30.3256
5134.25,-30.1728
5147.63,-30.114
5161.82,-29.972
5175.77,-29.9844
5189.4400000000005,-30.0092
5203.57,-29.9588
5217.7300000000005,-30.0732
5217.7300000000005,-30.1352
5231.620000000001,-30.1988
5246.23,-30.1508
5260.469999999999,-30.1524
5274.77,-30.274
5288.29,-30.3996
5302.05,-30.4916
5327.4400000000005,-30.656
5345.5,-30.9896
5360.25,-31.2688
5375.0,-31.4068
5389.14,-31.49
5402.910000000001,-31.4604
5417.21,-31.5168
5431.009999999999,-31.5164
5444.33,-31.398
5458.68,-31.2252
5473.04,-31.1188
5488.24,-31.0236
5502.54,-30.9024
5517.17,-30.8612
5532.12,-30.7296
5547.42,-30.4972
5562.37,-30.2972
5577.429999999999,-30.0928
5591.89,-30.0256
5606.92,-30.0888
5621.63,-30.0264
5636.04,-29.9068
5650.76,-29.9324
5665.740000000001,-30.0268
5681.3099999999995,-30.1428
5696.51,-30.2084
5711.58,-30.2144
5727.68,-30.34
5743.86,-30.4028
5759.66,-30.402
5775.280000000001,-30.4208
5791.24,-30.5328
5807.7300000000005,-30.702
5822.530000000001,-30.5928
5839.0,-30.4672
5854.63,-30.5316
5869.23,-30.5912
5884.490000000001,-30.6264
5900.23,-30.5388
5915.58,-30.4428
5930.39,-30.4052
5945.35,-30.308
5960.34,-30.2208
5975.7300000000005,-30.286
5990.83,-30.3368
6005.96,-30.3084
6020.900000000001,-30.2136
6034.96,-30.3616
6050.12,-30.6112
6065.53,-30.7188
6080.860000000001,-30.766
6096.2300000000005,-30.658
6111.94,-30.5184
6127.64,-30.5828
6144.18,-30.6424
6160.34,-30.648
6176.14,-30.6684
6191.860000000001,-30.8152
6205.87,-30.8952
6220.51,-30.928
6236.64,-30.9564
6253.05,-31.1336
6268.72,-31.1204
6285.33,-30.8376
6301.84,-30.7268
6318.32,-30.7548
6333.71,-30.8388
6348.87,-30.9292
6365.1,-30.8764
6380.530000000001,-30.8852
6395.76,-30.9984
6411.31,-30.9712
6426.4400000000005,-30.8764
6441.71,-30.786
6454.1,-30.6648
6469.42,-30.5268
6489.84,-30.5572
6505.6900000000005,-30.7032
6521.759999999999,-30.8692
6538.22,-30.9756
6553.45,-30.9136
6569.5,-30.9204
6585.25,-31.0852
6600.5,-31.0988
6615.83,-30.89
6632.07,-30.8152
6647.79,-30.8988
6663.22,-30.9104
6679.15,-30.9364
6695.54,-30.9736
6711.02,-30.8472
6727.16,-30.6172
6743.47,-30.3368
6759.23,-30.124
6776.29,-29.9692
6792.28,-29.6656
6809.46,-29.434
6826.139999999999,-29.4184
6843.549999999999,-29.4084
6860.83,-29.226
6877.12,-28.9944
6893.93,-28.9868
6909.889999999999,-28.9756
6925.5199999999995,-28.8252
6942.31,-28.9184
6958.35,-29.0596
6974.97,-29.1308
6974.97,-29.1676
6991.52,-29.4676
7008.94,-29.916
7043.2300000000005,-30.3196
7043.2300000000005,-30.2892
7060.31,-30.474
7077.94,-30.6828
7095.19,-30.9452
7112.320000000001,-30.9768
7125.35,-30.9636
7145.8,-31.1032
7163.509999999999,-31.132
7180.5199999999995,-31.2808
7197.45,-31.4364
7213.19,-31.42
7230.45,-31.2596
7247.150000000001,-31.1212
7265.27,-30.976
7282.2300000000005,-30.78
7299.9,-30.6744
7318.0,-30.5712
7333.719999999999,-30.5724
7351.3,-30.472
7369.07,-30.2812
7386.320000000001,-30.15
7403.22,-29.9776
7419.6900000000005,-29.8564
7436.69,-29.8072
7454.049999999999,-30.0108
7471.2699999999995,-30.1188
7487.72,-30.1256
7504.61,-30.2656
7522.2,-30.308
7539.589999999999,-30.2796
7556.58,-30.0988
7574.75,-30.1288
7592.4800000000005,-30.2872
7608.889999999999,-30.2936
7625.59,-30.2704
7642.67,-30.0944
7659.86,-29.9088
7678.21,-29.592
7695.46,-29.3396
7713.0,-29.2832
7730.63,-29.1944
7746.95,-29.1532
7765.150000000001,-28.928
7783.12,-28.8632
7800.33,-28.8588
7817.32,-28.702
7834.54,-28.712
7851.47,-28.7472
7868.34,-28.9236
7885.7699999999995,-29.1064
7903.58,-29.1612
7921.31,-29.162
7939.099999999999,-29.1468
7957.05,-29.1308
7974.62,-29.2384
7993.179999999999,-29.6408
8011.54,-29.9208
8029.0199999999995,-30.0864
8046.2699999999995,-30.2788
8064.42,-30.4052
8083.119999999999,-30.5756
8100.59,-30.5459
8119.109999999999,-30.7749
8136.41,-30.8758
8153.16,-31.3526
8171.049999999999,-31.8086
8190.02,-32.2392
8210.539999999999,-32.4422
8229.97,-32.4
8250.54,-32.3196
8269.130000000001,-32.2388
8290.01,-32.1624
8309.8,-32.0798
8330.24,-32.0107
8348.58,-31.9529
8365.9,-31.7431
8384.560000000001,-31.3673
8404.550000000001,-30.9511
8424.039999999999,-30.6043
8442.56,-30.389
8461.0,-30.3226
8480.08,-30.381
8499.25,-30.4508
8519.41,-30.4508
8538.61,-30.3911
8558.35,-30.3098
8577.52,-30.2165
8597.35,-30.134
8615.28,-30.1719
8632.64,-30.1798
8651.81,-30.1391
