CalBP,Z_GISP2_Temp_C,Z_PANGAEA_pollen_AP [%],Z_PANGAEA_pollen_AP-Pinus [%],Z_PANGAEA_pollen_Algae [%],Z_PANGAEA_pollen_Helophyte [%],Z_PANGAEA_pollen_Herbs [%],Z_PANGAEA_pollen_NAP [%],Z_PANGAEA_pollen_Poaceae+Cyperaceae [,Z_PANGAEA_pollen_Pollen aquat [%],Z_PANGAEA_pollen_Pollen mediterr [%],Z_PANGAEA_pollen_Pollen montane [%],Z_PANGAEA_pollen_Pollen pioneer [%],Z_PANGAEA_pollen_Pollen steppic [%],Z_PANGAEA_pollen_Pollen te [%],Z_PANGAEA_pollen_Shrubs [%],Z_PANGAEA_pollen_Spores [%],CCSI
7870,1.4334789272120392,1.0820490232875235,0.916928163395134,2.5832464414272684,-0.7959427596534584,-1.13763944678251,-1.0820490232875233,-0.566477219013559,0.2675607374523195,0.013297915793736636,-0.708829041118185,-0.08058235168804781,-0.6632340145532636,1.0684493986773373,-0.2908259918622669,-0.6030118379818371,1.0959073341008225
7880,1.3948790372601247,1.059937627157265,0.885385019386178,2.2399322332316802,-0.7945490286014825,-1.0891107543730922,-1.0599376271572665,-0.43393419757931967,-0.0023956103393032733,0.17037664475454534,-0.6965660425460238,0.1207837018101568,-0.6816056706112685,0.9064987672684445,-0.18055733250323594,-0.5995257849828344,1.047666817613278
7890,1.352177012652619,1.0288898459476594,0.8499985241027095,1.8869279900035576,-0.7939446923009964,-1.0347160577333054,-1.0288898459476603,-0.31885428005094485,-0.22894625670477367,0.3249157220056401,-0.689496699414452,0.2975929331313023,-0.6881288627767617,0.7448780521503162,-0.0486552519291055,-0.5959460682982661,0.995710740511228
7900,1.3059235510188754,0.9897515046710869,0.8116893884517957,1.5393616887375876,-0.7929975247627032,-0.9753434034968584,-0.989751504671087,-0.22731074113524513,-0.41345960003773136,0.47829845473905236,-0.6862062297306939,0.4398384697297403,-0.6853465801273498,0.5844159968771593,0.10283000224310257,-0.5922707742903629,0.9423793045851905
7910,1.2561110411599696,0.9434498463855082,0.7710882007561797,1.2090758515756017,-0.7900286517951298,-0.9123899262693395,-0.9434498463855078,-0.16291686735046335,-0.5595922700905394,0.6333644657277903,-0.6849913663500516,0.5399869835503011,-0.6755685336965214,0.4243975106450299,0.2698087715616447,-0.5880784263238402,0.8894873336322453
7920,1.2021509614439263,0.8909802677906777,0.7286455104777436,0.9046242198317126,-0.783152186080995,-0.8476742132449164,-0.8909802677906775,-0.12659666244887213,-0.6720251746649586,0.7932676352846014,-0.6839710147280221,0.593712892135613,-0.660559319518504,0.2634021040649257,0.44614283699447677,-0.5823443621502878,0.8381343907154292
7930,1.1429804462122657,0.8333132803802635,0.6846333695663558,0.6316624040735854,-0.7705631200626549,-0.7831557443552715,-0.8333132803802649,-0.11641626907362007,-0.755587701741593,0.9601985044785092,-0.6810702540585404,0.6004227873360943,-0.6414030828539746,0.10011915194071491,0.6239153938561125,-0.5732141140180097,0.7885423621129172
7940,1.077284410805075,0.7711675377208757,0.6389770908462808,0.3934243213751041,-0.7507196087208353,-0.7204653885603893,-0.7711675377208782,-0.12746651081197014,-0.8147580942358015,1.1341237390245438,-0.6739234211717408,0.5635388644436111,-0.618440176019379,-0.06602119629692899,0.7940443532488537,-0.5577449593317086,0.7398909694496343
7950,1.0037911240856896,0.7046535644216375,0.590929347282436,0.19111747898425024,-0.7223945198082621,-0.6603106684152009,-0.70465356442164,-0.15189876376693254,-0.8534361177507486,1.3117397997768578,-0.6597634188383128,0.49042661136502863,-0.5911976520634068,-0.2345030210807962,0.9472133966764068,-0.5316585649614893,0.6901627275240918
7960,0.921578636792689,0.6328677167162581,0.5386772300433572,0.02420790519634832,-0.6846031778314833,-0.601890221585807,-0.6328677167162573,-0.1792702116794304,-0.8748597816073559,1.485891105864643,-0.6353657422032336,0.39183769847971917,-0.5582895730139891,-0.4037163944799159,1.074966021918775,-0.4891848964581604,0.6360537773875596
