,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,removal_reason
918,OXAV-239292,7116,32,bone,,,,-0.8657,38.6373,1,,,Casa Corona,Spain,,Europe,Vermeersch2019,,Unknown lab ID
919,OXAX-102812,4580,65,ceramic residue (charred),,,,-0.6519,51.4878,2,,,Eton Rowing Lake Dorney,United Kingdom,,Europe,Bevan2017,Bronk Ramsey 2009,Unknown lab ID
920,OXAX-104222,7870,60,Animal bone sheep-sized fragments,,-17.8,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,14SEA,Cessford 2005: 86 Bronk Ramsey et al. 2009: 338 340,Unknown lab ID
921,OXAX-104513,7850,110,Animal bone sheep- and cattle-sized fragments,,-18.9,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,14SEA,Cessford 2005: 85 Bronk Ramsey et al. 2009: 338 340,Unknown lab ID
922,OXAX-10459,4610,65,ceramic residue (charred),,,,-0.6519,51.4878,2,,,Eton Rowing Lake Dorney,United Kingdom,,Europe,Bevan2017,Cessford 2005: 85 Bronk Ramsey et al. 2009: 337,Unknown lab ID
923,OXAX-108407,7190,140,Inhaled particulate carbon,,-23,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,14SEA,Cessford 2005: 85 Bronk Ramsey et al. 2009: 337,Unknown lab ID
924,OXAX-108408,7330,75,Inhaled particulate carbon,,-24.7,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,14SEA,Cessford 2005: 86 Bronk Ramsey et al. 2009: 337,Unknown lab ID
925,OXAX-108497,7190,140,carbon,,-23,,32.8257,37.6664,3,,,Catalhöyük East,Turkey,,Asia,CALPAL,Bronk Ramsey 2009,Unknown lab ID
926,OXAX-203715,3901,31,bone,,,,-1.2949,51.6721,2,,,Spring Road Abingdon,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
927,OXAX-203716,2281,38,bone,,,,-1.2949,51.6721,2,,,Spring Road Abingdon,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
928,OXAX-203717,2357,26,bone,,,,-1.2949,51.6721,2,,,Spring Road Abingdon,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
929,OXAX-203718,2279,28,bone,,,,-1.2949,51.6721,2,,,Spring Road Abingdon,United Kingdom,,Europe,Bevan2017,Whittle 2002,Unknown lab ID
930,OXAX-204007,6787,37,bone,,-19.6,,20.9472,47.1793,1,,,Ecsegfalva 23,Hungary,,Europe,CALPAL; Vermeersch2019,Whittle 2002,Unknown lab ID
931,OXAX-204008,6775,37,bone,,-19.7,,20.9472,47.1793,1,,,Ecsegfalva 23,Hungary,,Europe,CALPAL; Vermeersch2019,Whittle 2002,Unknown lab ID
932,OXAX-204009,6780,39,bone,,-20.6,,20.9472,47.1793,1,,,Ecsegfalva 23,Hungary,,Europe,CALPAL; Vermeersch2019,Whittle 2002,Unknown lab ID
933,OXAX-20407,6787,37,collagen bone,,-19.6,,20.91667,47.15,2,,,Ecsegfalva,Hungary,,Europe,RADON,Brock et al. 2007,Unknown lab ID
934,OXAX-20408,6775,35,collagen bone,,-19.7,,20.91667,47.15,2,,,Ecsegfalva,Hungary,,Europe,RADON,Brock et al. 2007,Unknown lab ID
935,OXAX-20409,6780,39,collagen bone,,-20.6,,20.91667,47.15,2,,,Ecsegfalva,Hungary,,Europe,RADON,Brock et al. 2007,Unknown lab ID
936,OXAX-205406,7291,38,carbon,,-23.8,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,CALPAL,Bronk Ramsey 2009,Unknown lab ID
937,OXAX-205811,7160,80,carbon,,-23.8,,32.8257,37.6664,3,,,Çatalhöyük East,Turkey,,Asia,CALPAL,Bronk Ramsey 2009,Unknown lab ID
938,OXAX-208209,29200,360,AG fraction on Sample 12 Vi-208,,,,16.088,46.305,1,,,Vindija,Croatia,,Europe,Vermeersch2019,Karavanic I. 2005. Journal of Anthropological Research 51 9-35. Ahern J.C.M. et al 2004. JHE 46: 27-67. Wild E.M.  2001. Radiocarbon 43: 1021-1028. Higham C. 2006. PNAS 103: 553-557.,Unknown lab ID
939,OXAX-213546,4880,65,carbonised residue,,,,-2.46723,50.6949,2,,,Maiden Castle,United Kingdom,,Europe,EUROEVOL,,Unknown lab ID
940,OXAX-216510,4950,40,miscellaneous,,-27.7,,-3.58342,50.81693,2,,,Raddon Devon,United Kingdom,,Europe,RADON,Whittle et al. 2011 494; Gent/Quinnell 1999,Unknown lab ID
941,OXAX-217618,7285,45,bone,,-21.5,,21.9982,44.5645,1,,,Lepenski Vir,Serbia,,Europe,CALPAL; Vermeersch2019,Borić  2011,Unknown lab ID
942,OXAX-217619,7314,40,bone,,-20.7,,21.9982,44.5645,1,,,Lepenski Vir,Serbia,,Europe,CALPAL; Vermeersch2019,Borić  2011,Unknown lab ID
943,OXAX-2178,2755,55,ceramic residue (charred)/grain (charred),,,,-2.0833,55.5875,2,,,Cheviot Quarry Milfield Basin,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
944,OXAX-2178142,2785,75,ceramic residue (charred),,,,-2.0833,55.5875,2,,,Cheviot Quarry Milfield Basin,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
945,OXAX-2178151,2755,55,grain,,,,-2.0833,55.5875,2,,,Cheviot Quarry Milfield Basin,United Kingdom,,Europe,Bevan2017,Nixon 2009,Unknown lab ID
946,OXAX-218255,4150,37,bone,,,,-0.2073,52.5731,2,,,Elliott Site Fengate,United Kingdom,,Europe,Bevan2017,Street & Terbergen 2000. Thez German Upper Palaeolithic. In: Hunters of the Golden Age: 281-291. Hasaert P.  Trabalhos de Arqueologia 33: 133.  Nigst PR.  2011 L'A i p. Davies W. 2015. QSR ip,Unknown lab ID
947,OXAX-220436,372,25,bone,,,,-0.0665,51.5016,2,,,Chambers Wharf London,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
948,OXAX-221031,5048,33,bone,,,,-5.4944,54.3681,2,,,Millin Bay Keentagh,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
949,OXAX-221215,4740,32,bone,,,,-5.4944,54.3681,2,,,Millin Bay Keentagh,United Kingdom,,Europe,Bevan2017,Caron  2011. PLoS ONE e21545. Zilhao  2011. Before Farming 3,Unknown lab ID
950,OXAX-222617,2329,29,tissue (leather),,,,-3.5667,53.019,2,,,Cerrigydrudion,United Kingdom,,Europe,Bevan2017,Caron  2011. PLoS ONE e21545. Zilhao  2011. Before Farming 3,Unknown lab ID
